Test Case,Input,Maximum Subarray Sum,Branch_Coverage,Statement_Coverage,Function_Coverage,Execution_Time,Adequacy_Score,Adequacy_Label
1,"[896730251, 147090046]",1043820297,94.44444444,57.14285714,100.00%,0.001012087,36.13164482129999,mid
2,"[320318667, 845312942, 826534529, 395996831]",2388162969,94.44444444,57.14285714,100.00%,0.001034021,36.13164262789999,mid
3,"[533556861, 651939963, 599523543, 998639862, 390044288]",3173704517,94.44444444,57.14285714,100.00%,0.001000166,36.1316460134,mid
4,[101339019],101339019,87.5,19.04761905,50.00%,1e-09,23.2642857149,low
5,"[52774873, 7887616, 954504300]",1015166789,94.44444444,57.14285714,100.00%,0.001001358,36.1316458942,mid
6,"[817000060, 393265860, 966137507, 886530500]",3062933927,94.44444444,57.14285714,100.00%,0.001000881,36.1316459419,mid
7,"[478766913, 704988098]",1183755011,94.44444444,57.14285714,100.00%,0.000997782,36.13164625179999,high
8,"[153000550, 522262749]",675263299,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
9,"[372769702, 981099400, 463816574]",1817685676,94.44444444,57.14285714,100.00%,0.001000404,36.1316459896,mid
10,"[676445892, 210948923]",887394815,94.44444444,57.14285714,100.00%,0.000998259,36.1316462041,high
11,"[693207668, 824718932, 183585696]",1701512296,94.44444444,57.14285714,100.00%,0.001000643,36.1316459657,mid
12,[4145955],4145955,87.5,19.04761905,50.00%,0.00100112,23.264185603,low
13,"[790101128, 927314417, 998968638, 202726019, 890724518, 580155951, 624887564, 567064427]",5581942662,94.44444444,57.14285714,100.00%,0.000882387,36.13165779129999,high
14,"[969260042, 779607671, 699561435, 8975103, 448398526, 331638454, 565375265, 764520245]",4567336741,94.44444444,57.14285714,100.00%,0.000995398,36.1316464902,high
15,[35840518],35840518,87.5,19.04761905,50.00%,0.001000881,23.2641856269,low
16,"[899660042, 736362512, 834527648, 643889503, 439865487, 85088251]",3639393443,94.44444444,57.14285714,100.00%,0.001053572,36.1316406728,mid
17,"[732563506, 72906882, 498360323, 822812448, 370218821, 564721828, 536622133, 457556930]",4055762871,94.44444444,57.14285714,100.00%,0.00099802,36.131646228,high
18,"[884900346, 636093404, 970282638]",2491276388,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
19,"[42427306, 725003923, 547104763, 89876648, 387893617, 44856819, 746539320]",2583702396,94.44444444,57.14285714,100.00%,0.000999451,36.1316460849,mid
20,"[507863344, 634069241, 628505747, 809145979]",2579584311,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
21,"[356774435, 675096207, 64064416]",1095935058,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
22,"[856230257, 655823990, 40284209, 448067160, 946396135, 380087967, 129929268, 83608156, 712086358]",4252513500,94.44444444,57.14285714,100.00%,0.000999689,36.13164606109999,mid
23,"[557150583, 250967857, 225809904]",1033928344,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
24,"[425407782, 438996039, 449467398, 996648562]",2310519781,94.44444444,57.14285714,100.00%,0.001000881,36.1316459419,mid
25,"[127989721, 471932441, 392875417, 394051489, 687895260, 412768854, 139881087, 540495136, 350254497, 200819713]",3718963615,94.44444444,57.14285714,100.00%,0.000998735,36.1316461565,high
26,"[159349173, 174263630, 399630986, 376605050, 948732950]",2058581789,94.44444444,57.14285714,100.00%,0.001103878,36.1316356422,mid
27,[591667046],591667046,87.5,19.04761905,50.00%,0.000999451,23.2641857699,low
28,"[731829547, 66754321, 340261609, 433592942, 278619938, 820637730, 396045113]",3067741200,94.44444444,57.14285714,100.00%,0.001711369,36.1315748931,mid
29,[362935650],362935650,87.5,19.04761905,50.00%,1e-09,23.2642857149,low
30,"[428361581, 587420019]",1015781600,94.44444444,57.14285714,100.00%,0.001000166,36.1316460134,mid
31,"[145197336, 838291030, 626316267, 548203063, 175951733]",2333959429,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
32,"[669248790, 733678802, 925059594, 46944906, 353446685, 848918149]",3577296926,94.44444444,57.14285714,100.00%,0.001130342,36.1316329958,mid
33,[933892130],933892130,87.5,19.04761905,50.00%,0.001000404,23.2641856746,low
34,"[832529496, 316655386, 417612947, 339115688, 162885732, 79020195, 386786456, 835059427, 499102561]",3868767888,94.44444444,57.14285714,100.00%,0.001000404,36.1316459896,mid
35,"[796067342, 524695613, 345908652]",1666671607,94.44444444,57.14285714,100.00%,0.00084424,36.131661606,high
36,"[658727260, 589325806, 981624803, 701524714, 561580012, 865100597, 285845417, 191361915, 796378766, 993506730]",6624976020,94.44444444,57.14285714,100.00%,0.000999451,36.1316460849,mid
37,"[200358219, 930329055, 635132778, 378718915, 95693424, 422512341]",2662744732,94.44444444,57.14285714,100.00%,0.000972748,36.1316487552,high
38,"[220974906, 234851328, 42098310, 420782807, 604189306, 526004928, 753962376]",2802863961,94.44444444,57.14285714,100.00%,0.005000591,36.1312459709,mid
39,[236490813],236490813,87.5,19.04761905,50.00%,0.000532389,23.2642324761,low
40,"[534411861, 976559516, 617045149, 678228230]",2806244756,94.44444444,57.14285714,100.00%,0.000984669,36.1316475631,high
41,"[180614270, 351887759, 294396780, 929176889, 933150603]",2689226301,94.44444444,57.14285714,100.00%,0.001000166,36.1316460134,mid
42,"[753105176, 507972405, 475273854]",1736351435,94.44444444,57.14285714,100.00%,0.001130819,36.1316329481,mid
43,[36159933],36159933,87.5,19.04761905,50.00%,0.001238585,23.2641618565,low
44,"[360308658, 122862086, 229027395, 611176702, 538093065, 712926288]",2574394194,94.44444444,57.14285714,100.00%,0.000998974,36.1316461326,mid
45,"[547057495, 852091362, 817245746, 386359913, 644590123]",3247344639,94.44444444,57.14285714,100.00%,0.001330137,36.1316130163,mid
46,"[422304515, 259433784, 633806657, 22025012, 719372338, 353601220]",2410543526,94.44444444,57.14285714,100.00%,0.001603365,36.13158569349999,mid
47,"[294088005, 584679672, 794532257]",1673299934,94.44444444,57.14285714,100.00%,0.001001596,36.13164587039999,mid
48,"[98205166, 867966888, 789780557, 54956139, 904559410, 250587560, 819323250, 422508331]",4207887301,94.44444444,57.14285714,100.00%,0.001001835,36.13164584649999,mid
49,[131587586],131587586,87.5,19.04761905,50.00%,0.001001835,23.2641855315,low
50,"[167243711, 537579401, 121972621, 152533248, 494036392, 55081380, 681883340, 685602344, 680686355]",3576618792,94.44444444,57.14285714,100.00%,0.001302719,36.1316157581,mid
51,"[450658828, 615862585, 518478029, 996955998, 842771583, 395274205, 672388769]",4492389997,94.44444444,57.14285714,100.00%,0.000999451,36.1316460849,mid
52,"[190059007, 760984727, 79780086, 423287268, 718770041, 962887253, 967664465, 778862246, 36586920, 30148521]",4949030534,94.44444444,57.14285714,100.00%,0.000700951,36.1316759349,high
53,"[966122293, 510528338, 944853991, 465820137, 401123453]",3288448212,94.44444444,57.14285714,100.00%,1e-09,36.13174602989999,high
54,"[25136998, 177151642, 679610762, 606286674, 285204486, 167266682, 43458428, 293423683]",2277539355,94.44444444,57.14285714,100.00%,0.000999212,36.1316461088,mid
55,"[378397213, 832681088, 999382449, 606063361]",2816524111,94.44444444,57.14285714,100.00%,0.000999928,36.13164603719999,mid
56,"[43799384, 377606579, 563634723, 861486174, 250326234, 581732336, 794413905, 890019351]",4363018686,94.44444444,57.14285714,100.00%,0.000998974,36.1316461326,mid
57,"[474078565, 398567711, 971176593, 290602233, 404095485, 293275264, 470663067, 944003397, 565365986]",4811828301,94.44444444,57.14285714,100.00%,0.001012802,36.1316447498,mid
58,"[402960782, 50622802, 634499797, 358650717, 925538243]",2372272341,94.44444444,57.14285714,100.00%,0.000998735,36.1316461565,high
59,"[324977039, 477197239]",802174278,94.44444444,57.14285714,100.00%,0.000997543,36.13164627569999,high
